HD,Teff,log_g,vt,Fe_H,mv,Av,p,e_p,Mv,BC,Mbol,log_L,M,e_M_pos,e_M_neg,log_R,e_log_R,log_age,e_log_age_pos,e_log_age_neg,log_g_TLM,source_id
103462,4903,2.26,1.39,-0.6,5.26,0.19,11.06,0.71,0.29,-0.3,0.0,1.9,2.14,0.19,-0.19,1.09,0.03,8.9,0.07,-0.08,2.58,3490856994789452416
103484,5008,3.18,1.13,-0.01,5.58,0.03,19.45,0.73,1.99,-0.26,1.74,1.21,1.83,0.09,-0.19,0.73,0.03,9.18,0.15,-0.07,3.25,3899930845658894336
104979,4871,2.48,1.37,-0.45,4.12,0.0,19.08,0.77,0.52,-0.31,0.21,1.82,2.12,0.27,-0.23,1.06,0.03,9.0,0.09,-0.21,2.65,3905768599567468544
104985,4679,2.47,1.4,-0.35,5.78,0.0,9.8,0.52,0.74,-0.39,0.35,1.76,2.12,0.05,-0.63,1.06,0.03,8.94,0.47,-0.01,2.64,1693159194226600192
106057,4956,2.64,1.35,-0.1,5.6,0.06,6.73,0.74,-0.32,-0.28,-0.6,2.14,3.06,0.21,-0.2,1.2,0.05,8.52,0.1,-0.07,2.52,3951561575236309120
106714,4933,2.57,1.37,-0.18,4.93,0.05,13.12,0.88,0.47,-0.28,0.19,1.82,2.5,0.1,-0.24,1.05,0.04,8.79,0.16,-0.08,2.74,4002093686540184960
107383,4841,2.51,1.38,-0.28,4.72,0.05,9.04,0.86,-0.55,-0.32,-0.87,2.25,3.14,0.06,-0.21,1.28,0.05,8.49,0.11,-0.02,2.38,3946945413106333696
107950,5171,2.6,1.63,0.01,4.76,0.04,8.3,0.58,-0.68,-0.21,-0.89,2.26,3.36,0.16,-0.13,1.23,0.04,8.42,0.05,-0.06,2.52,1547805440663969920
108225,4969,2.71,1.27,0.04,5.01,0.04,14.35,0.6,0.75,-0.27,0.48,1.71,2.5,0.04,-0.05,0.99,0.03,8.77,0.02,-0.03,2.87,1532184644606148352
109272,5104,3.22,1.13,-0.26,5.58,0.13,20.58,0.8,2.02,-0.23,1.79,1.19,1.79,0.04,-0.12,0.7,0.03,9.16,0.09,-0.03,3.29,3528457578039228160
109317,4866,2.61,1.38,-0.05,5.42,0.07,12.26,0.7,0.79,-0.31,0.48,1.71,2.41,0.07,-0.23,1.0,0.03,8.82,0.12,-0.04,2.81,1517740807028773504
109379,5145,2.56,1.62,-0.01,2.65,0.1,23.34,0.8,-0.61,-0.22,-0.83,2.23,3.31,0.07,-0.07,1.22,0.02,8.44,0.02,-0.02,2.53,3501215734352781440
110646,5067,3.05,1.21,-0.45,5.91,0.0,14.26,0.77,1.68,-0.24,1.43,1.33,1.81,0.08,-0.17,0.78,0.03,9.12,0.17,-0.04,3.14,3683485350301204992
111028,4881,3.27,1.03,-0.05,5.65,0.0,22.36,1.0,2.4,-0.3,2.1,1.06,1.41,0.19,-0.23,0.68,0.03,9.53,0.31,-0.19,3.24,3734970154071002624
113095,4961,2.68,1.37,-0.07,5.97,0.07,8.14,0.78,0.45,-0.27,0.18,1.83,2.59,0.12,-0.15,1.05,0.05,8.73,0.11,-0.06,2.76,3937711783175696768
113226,5044,2.63,1.41,0.07,2.85,0.02,31.9,0.87,0.35,-0.25,0.1,1.86,2.7,0.04,-0.03,1.05,0.02,8.68,0.02,-0.03,2.78,3736865265441207424
114256,4858,2.68,1.34,0.04,5.79,0.06,9.27,0.78,0.57,-0.31,0.25,1.8,2.51,0.09,-0.14,1.05,0.04,8.77,0.13,-0.05,2.74,3735773759632577024
114946,5066,3.32,1.08,-0.33,5.31,0.09,25.89,0.73,2.29,-0.24,2.04,1.08,1.62,0.06,-0.18,0.66,0.02,9.28,0.16,-0.05,3.34,3507245834075862528
115202,4826,3.11,1.07,-0.02,5.21,0.09,25.68,0.75,2.17,-0.32,1.84,1.16,1.45,0.2,-0.25,0.74,0.02,9.5,0.32,-0.19,3.12,3507322593731193728
115659,5019,2.47,1.47,-0.06,2.99,0.1,24.69,0.7,-0.15,-0.25,-0.4,2.06,2.94,0.03,-0.06,1.15,0.02,8.57,0.04,-0.01,2.6,6194563955869054848
116292,4884,2.49,1.3,-0.09,5.36,0.2,10.2,0.73,0.2,-0.3,-0.1,1.94,2.64,0.06,-0.26,1.12,0.04,8.72,0.2,-0.03,2.63,3604079616975432960
116957,4898,2.63,1.33,-0.1,5.88,0.02,9.13,0.66,0.66,-0.3,0.37,1.75,2.39,0.14,-0.27,1.02,0.04,8.87,0.16,-0.11,2.78,1550327136221693184
117566,5496,3.34,1.37,0.05,5.74,0.0,11.15,0.46,0.98,-0.13,0.85,1.56,2.29,0.04,-0.05,0.82,0.03,8.88,0.03,-0.02,3.15,1718143774901732608
117818,4811,2.31,1.34,-0.34,5.21,0.17,12.36,0.78,0.5,-0.33,0.17,1.83,2.05,0.33,-0.13,1.08,0.03,9.06,0.03,-0.21,2.6,3617798051756565760
118219,4831,2.34,1.33,-0.34,5.7,0.17,8.8,0.76,0.25,-0.32,-0.08,1.93,2.51,0.11,-0.46,1.12,0.04,8.74,0.32,-0.06,2.6,3633360951653003776
119126,4796,2.33,1.34,-0.12,5.63,0.07,10.13,0.8,0.59,-0.34,0.26,1.8,2.38,0.14,-0.38,1.06,0.04,8.85,0.26,-0.07,2.69,1443435089669339648
119605,5456,1.96,1.95,-0.31,5.55,0.36,4.18,0.72,-1.7,-0.15,-1.85,2.64,4.04,0.06,-0.28,1.37,0.08,8.19,0.08,-0.02,2.31,3605275331575431168
120048,5014,2.79,1.22,0.11,5.92,0.1,8.08,0.63,0.36,-0.26,0.1,1.86,2.71,0.09,-0.09,1.05,0.04,8.66,0.04,-0.04,2.77,1496458831762164480
120084,4892,2.71,1.31,0.09,5.91,0.0,10.24,0.49,0.96,-0.3,0.66,1.64,2.39,0.06,-0.3,0.96,0.03,8.82,0.18,-0.03,2.89,1715055487257379968
120420,4791,2.63,1.26,-0.2,5.61,0.1,10.49,0.67,0.61,-0.34,0.27,1.79,2.25,0.14,-0.28,1.06,0.03,8.9,0.19,-0.07,2.68,1457268973171076992
120787,4843,2.31,1.34,-0.38,5.97,0.0,8.26,0.57,0.55,-0.32,0.23,1.81,2.02,0.35,-0.1,1.06,0.04,9.08,-0.02,-0.24,2.63,1664228912995888768
125454,4848,2.56,1.39,-0.1,5.14,0.1,11.9,0.95,0.42,-0.32,0.11,1.86,2.47,0.16,-0.13,1.08,0.04,8.82,0.07,-0.12,2.67,3646572511573604096
126218,5025,2.5,1.58,0.12,5.34,0.26,8.16,0.87,-0.36,-0.25,-0.61,2.15,3.15,0.23,-0.17,1.19,0.05,8.48,0.06,-0.08,2.55,6272566433184713856
127243,4893,2.21,1.48,-0.77,5.58,0.01,10.59,0.61,0.69,-0.3,0.39,1.74,1.92,0.09,-0.54,1.02,0.03,9.08,0.39,-0.13,2.69,1603662211901473408
129312,4993,2.53,1.62,0.01,4.86,0.05,5.66,0.82,-1.43,-0.26,-1.7,2.58,4.2,0.34,-0.3,1.42,0.07,8.15,0.09,-0.1,2.23,1172801946147903744
129336,4901,2.54,1.33,-0.25,5.55,0.05,8.46,0.86,0.14,-0.3,-0.16,1.96,2.68,0.1,-0.16,1.13,0.05,8.67,0.1,-0.05,2.62,1178359260166926848
129944,4892,2.5,1.32,-0.26,5.8,0.25,8.91,0.96,0.3,-0.3,0.0,1.9,2.59,0.08,-0.32,1.09,0.05,8.7,0.25,-0.03,2.66,6230557877755014016
129972,4976,2.69,1.43,-0.01,4.6,0.05,14.48,0.79,0.35,-0.27,0.08,1.87,2.68,0.06,-0.2,1.06,0.03,8.69,0.16,-0.03,2.74,1234775751543356928
130952,4750,2.34,1.35,-0.4,4.93,0.08,15.09,1.09,0.74,-0.36,0.39,1.75,1.85,0.24,-0.16,1.04,0.04,9.1,0.15,-0.16,2.62,6340310574387172608
131530,4962,2.72,1.33,0.0,5.78,0.26,8.94,0.96,0.28,-0.27,0.01,1.9,2.72,0.13,-0.23,1.08,0.05,8.67,0.18,-0.06,2.71,6313345056012103552
132146,5012,2.29,1.6,-0.06,5.72,0.05,5.28,0.81,-0.72,-0.26,-0.98,2.29,3.45,0.34,-0.3,1.27,0.07,8.39,0.11,-0.11,2.44,1187965555819801600
133002,5532,3.56,1.11,-0.34,5.63,0.0,23.08,0.5,2.45,-0.14,2.31,0.98,1.49,0.03,-0.04,0.53,0.02,9.37,0.04,-0.03,3.56,1722385725122129408
133208,5001,2.35,1.61,-0.07,3.49,0.06,14.91,0.57,-0.7,-0.26,-0.96,2.29,3.42,0.08,-0.11,1.27,0.03,8.4,0.06,-0.03,2.44,1296713990316692096
133392,4903,2.69,1.32,0.09,5.52,0.1,11.85,0.6,0.79,-0.29,0.5,1.7,2.49,0.06,-0.4,0.99,0.03,8.77,0.31,-0.03,2.85,1291693001748846592
134190,4841,2.28,1.4,-0.41,5.24,0.06,12.53,0.53,0.67,-0.32,0.35,1.76,2.03,0.14,-0.22,1.03,0.03,8.99,0.15,-0.05,2.68,1600250049363008640
136512,4749,2.34,1.39,-0.29,5.51,0.05,11.9,0.74,0.84,-0.36,0.48,1.71,2.13,0.01,-0.23,1.02,0.03,8.93,0.16,-0.01,2.72,1275235752223276288
