HD,Teff,log_g,vt,Fe_H,mv,Av,p,e_p,Mv,BC,Mbol,log_L,M,e_M_pos,e_M_neg,log_R,e_log_R,log_age,e_log_age_pos,e_log_age_neg,log_g_TLM,source_id
185958,4876,2.22,2.08,0.02,4.39,0.19,6.99,0.67,-1.58,-0.3,-1.89,2.65,4.33,0.23,-0.21,1.47,0.05,8.11,0.07,-0.07,2.13,1823991938314881152
186675,4953,2.46,1.47,-0.08,4.89,0.04,11.7,0.5,0.19,-0.28,-0.09,1.93,2.74,0.04,-0.19,1.1,0.03,8.66,0.15,-0.01,2.67,2048824680109512320
187739,4771,2.71,1.03,-0.19,5.88,0.29,10.46,0.93,0.69,-0.35,0.34,1.76,2.01,0.24,-0.04,1.05,0.04,9.08,0.01,-0.14,2.64,6870272159619885952
188310,4802,2.72,1.42,-0.18,4.71,0.1,15.96,1.01,0.63,-0.33,0.29,1.78,2.29,0.13,-0.27,1.05,0.03,8.89,0.18,-0.07,2.69,4298361114753012992
188650,5450,1.79,2.17,-0.67,5.79,0.95,2.12,0.51,-3.53,-0.16,-3.69,3.38,4.64,0.29,-0.19,1.74,0.11,8.07,0.05,-0.05,1.63,2071828868562847616
188947,4866,2.69,1.35,0.07,3.89,0.09,23.4,0.54,0.65,-0.31,0.34,1.76,2.56,0.02,-0.46,1.03,0.02,8.74,0.34,-0.02,2.78,2059372363884259072
189127,4760,2.28,1.41,-0.22,6.1,0.04,7.06,0.51,0.3,-0.35,-0.05,1.92,2.31,0.25,-0.12,1.13,0.04,8.92,0.06,-0.18,2.55,2235536563541323520
192787,5025,2.86,1.25,-0.07,5.7,0.2,10.86,0.58,0.68,-0.25,0.43,1.73,2.47,0.06,-0.07,0.99,0.03,8.77,0.07,-0.03,2.86,2055439891826633472
192879,4886,2.62,1.37,-0.09,5.86,0.31,9.55,0.87,0.45,-0.3,0.14,1.84,2.47,0.15,-0.2,1.07,0.04,8.83,0.11,-0.11,2.7,6853183996574063360
192944,4981,2.48,1.48,-0.06,5.3,0.18,6.91,0.64,-0.68,-0.27,-0.94,2.28,3.41,0.21,-0.18,1.27,0.05,8.4,0.06,-0.07,2.44,1832206046035389696
192947,5046,2.9,1.32,0.03,3.58,0.12,30.01,0.91,0.85,-0.25,0.61,1.66,2.43,0.04,-0.04,0.95,0.02,8.8,0.02,-0.03,2.93,6880093650314169984
194013,4906,2.63,1.32,-0.07,5.3,0.05,13.23,0.8,0.86,-0.29,0.57,1.67,2.36,0.08,-0.38,0.98,0.03,8.84,0.29,-0.04,2.86,4246237185473865216
194577,5028,2.68,1.34,-0.02,5.68,0.2,6.0,0.73,-0.63,-0.25,-0.88,2.25,3.35,0.28,-0.24,1.25,0.06,8.43,0.09,-0.1,2.47,1817144660868881664
