name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,log_g,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,Star Name,Gaia_ID,Gaia ID,source_file,parallax,vmag
HD 16175 b,Confirmed,4.77,0.37,0.37,4.77,0.37,0.37,,,,995.4,2.8,2.8,2.148,0.076,0.076,0.637,0.02,0.02,,,,0.035117,2007.0,2016-04-29,221.5,2.2,2.2,2455801.4,2.6,2.6,,,,,,,,,,,,,,,,,,,103.5,5.0,5.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 16175,39.2583333,42.0625,4.1,7.28,,6.17,5.92,5.85,59.8,,,0.37,0.03,0.03,1.35,0.09,0.09,1.87,0.04,0.04,G0,5.3,1.0,1.0,6022.0,34.0,34.0,,,,HD 16175,Gaia DR3 340028235795364864,340028235795364864,keck_hires_with_gaia_id.csv,16.667033294093233,7.297
HD 163607 b,Confirmed,0.7836,0.0098,0.0098,0.7836,0.0098,0.0098,1.269,,,75.2203,0.02,0.02,0.362,0.016,0.016,0.7441,0.0071,0.0071,,,,0.005217,2011.0,2018-12-21,79.6,1.3,1.3,2454185.93,0.15,0.15,,,,,,,,,,,,,,,,,,,52.34,0.74,0.74,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,,,HD 163607,268.41873,56.39196,3.99,8.0,,,,,69.0,3.0,3.0,0.21,0.03,0.03,1.12,0.02,0.02,1.76,0.7,0.7,G5IV,8.6,6.0,6.0,5522.0,44.0,44.0,,,,HD 163607,Gaia DR3 1418519292895059840,1418519292895059840,ptps_with_gaia_id.csv,14.75543372303079,8.0
HD 167042 b,Confirmed,1.6,,,1.6,,,,,,416.1,4.0,4.0,1.3,,,0.03,0.04,0.04,,,,0.026,2007.0,2007-10-18,34.0,40.0,40.0,2453330.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 167042,272.6333333,54.2866667,3.26,5.97,,3.93,3.56,3.55,50.0,,,0.05,0.06,0.06,1.64,0.13,0.13,4.3,0.07,0.07,K1III,2.2,1.0,1.0,5020.0,75.0,75.0,,,,HD 167042,Gaia DR3 2149564787289902848,2149564787289902848,keck_hires_with_gaia_id.csv,20.131259443450254,5.98796
HD 167768 b,Confirmed,0.85,0.12,0.12,0.85,0.12,0.12,,,,20.6532,0.0035,0.0035,0.1512,0.0063,0.0063,0.149,0.1,0.1,,,,,2022.0,2022-11-15,58.0,5.0,5.0,2454594.07,2.25,2.25,,,,,,,,,,,,,,,,,,,61.06,7.0,7.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 167768,274.220833351,-3.007500006,2.36,6.0,,,,,108.4,0.3,0.3,-0.75,0.09,0.09,1.08,0.14,0.14,9.7,0.25,0.25,G8III,5.3,1.7,1.7,4830.0,45.0,45.0,,,,HD 167768,Gaia DR3 4270573397890617856,4270573397890617856,ptps_with_gaia_id.csv,9.22885656478276,5.98894
HD 17092 b,Confirmed,4.6,0.3,0.3,4.6,0.3,0.3,,,,359.9,2.4,2.4,1.29,0.05,0.05,0.166,0.052,0.052,,,,0.011835,2007.0,2007-05-06,347.4,13.4,13.4,52969.5,12.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 17092,41.5916667,49.6530556,2.56,7.73,,,,,109.0,55.0,55.0,0.18,0.08,0.08,2.3,0.3,0.3,,,,,,,,4650.0,35.0,35.0,,,,HD 17092,Gaia DR3 438865809918353280,438865809918353280,ptps_with_gaia_id.csv,4.475186380243077,7.732
HD 173416 b,Confirmed,2.7,0.3,0.3,2.7,0.3,0.3,,,,323.6,2.2,2.2,1.16,0.06,0.06,0.21,0.04,0.04,,,,0.008593,2009.0,2009-01-11,254.0,11.0,11.0,3465.8,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 173416,280.9,36.5566667,2.6,6.06,,,,,135.0,9.6,9.6,,,,2.0,0.3,0.3,13.5,0.9,0.9,G8,,,,4683.0,100.0,100.0,,,,HD 173416,Gaia DR3 2096524140211914368,2096524140211914368,EAPSNet2_stellar_params_with_gaia_id.csv,7.536268103655677,6.04188
HD 175541 b,Confirmed,0.61,,,0.61,,,,,,297.3,6.0,6.0,1.03,,,0.33,0.2,0.2,,,,0.008047,2007.0,2007-04-19,183.0,30.0,30.0,2450213.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 175541,283.9208333,4.2652778,3.47,8.03,,,,,128.0,,,-0.07,0.04,0.04,1.65,,,3.85,,,G8IV,1.9,1.0,1.0,5060.0,44.0,44.0,,,,HD 175541,Gaia DR3 4281180283478682496,4281180283478682496,keck_hires_with_gaia_id.csv,7.64697101553697,8.02
HD 175679 b,Confirmed,59.9,8.2,8.2,37.7,2.9,2.9,,,,1366.0,6.6,6.6,3.38,0.13,0.13,0.38,0.004,0.004,,,,,2012.0,2023-08-21,346.0,13.0,13.0,2455997.4,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 175679,284.108333342,2.471111124,2.59,6.1,,,,,168.0,1.5,1.5,-0.14,0.1,0.1,2.7,0.3,0.3,,,,G8III,,,,6844.0,100.0,100.0,,,,HD 175679,Gaia DR3 4280672412186891904,4280672412186891904,EAPSNet2_stellar_params_with_gaia_id.csv,5.947541835382329,6.12871
HD 180053 b,Confirmed,2.194,0.063,0.063,2.194,0.063,0.063,1.203,,,213.72,0.47,0.47,,,,,,,,,,,2013.0,2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,51.5,1.4,1.4,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 180053,288.400000012,34.914444474,3.43,7.9,,,,,126.3,,,,,,1.75,,,4.06,,,K0,2.3,0.2,0.2,5130.0,,,,,,HD 180053,Gaia DR3 2050321081068398720,2050321081068398720,keck_hires_with_gaia_id.csv,7.269935304790921,7.93
HD 18015 b,Confirmed,3.18,0.23,0.23,3.18,0.23,0.23,1.17,,,2278.0,71.0,71.0,3.87,0.32,0.32,0.148,0.06,0.06,,,,,2018.0,2018-12-19,265.0,29.0,29.0,2454730.0,170.0,170.0,,,,,,,,,,,,,,,,,,,38.0,2.7,2.7,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 18015,43.36336,-8.84802,3.63,7.9,,,,,,,,,,,1.49,,,3.13,,,G6IV,,,,5599.0,,,,,,HD 18015,Gaia DR3 5173468908975401856,5173468908975401856,keck_hires_with_gaia_id.csv,8.012863176970422,7.89
HD 180314 b,Confirmed,22.0,,,22.0,,,,,,396.03,0.62,0.62,1.4,,,0.257,0.01,0.01,,,,0.010606,2010.0,2011-08-04,302.1,2.3,2.3,3565.9,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 180314,288.7083333,31.8602778,3.0,6.61,,,,,132.0,10.0,10.0,0.2,0.09,0.09,2.6,0.3,0.3,9.2,0.4,0.4,K0,,,,4917.0,100.0,100.0,,,,HD 180314,Gaia DR3 2042983077905233792,2042983077905233792,EAPSNet3_stellar_params_with_gaia_id.csv,8.126068171317751,6.61519
HD 180902 b,Confirmed,1.685,0.41,0.41,1.685,0.41,0.41,1.221,,,510.9,1.5,1.5,1.4,0.11,0.11,0.107,0.022,0.022,,,,0.012636,2010.0,2018-12-21,181.0,12.0,12.0,2455055.0,17.0,17.0,,,,,,,,,,,,,,,,,,,34.25,0.84,0.84,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,,,HD 180902,289.82379,-23.55816,3.34,7.78,,,,,110.0,10.0,10.0,0.04,0.03,0.03,1.41,0.11,0.11,4.16,0.1,0.1,K0III/IV,2.8,0.7,0.7,4961.0,44.0,44.0,,,,HD 180902,Gaia DR3 6770721346051487872,6770721346051487872,keck_hires_with_gaia_id.csv,9.515695218944568,7.78
HD 181342 b,Confirmed,2.54,0.19,0.19,2.54,0.19,0.19,1.19,,,564.1,4.1,4.1,1.592,0.091,0.091,0.022,0.051,0.051,,,,0.016094,2010.0,2018-12-30,290.0,110.0,110.0,2461090.0,220.0,220.0,,,,,,,,,,,,,,,,,,,44.1,3.3,3.3,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,HIP 95124 b,,HD 181342,290.2666667,-23.6194444,3.22,7.55,,,,,110.6,7.5,7.5,0.26,0.03,0.03,1.69,0.13,0.13,4.71,0.1,0.1,K0III,1.8,0.4,0.4,4945.0,44.0,44.0,,,,HD 181342,Gaia DR3 6770761168986617600,6770761168986617600,keck_hires_with_gaia_id.csv,8.29716312476062,7.55
