name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,log_g,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,Star Name,Gaia_ID,Gaia ID,source_file,parallax,vmag
HD 79181 b,Confirmed,0.64,0.16,0.16,0.64,0.16,0.16,,,,273.1,0.4,0.4,0.9,0.08,0.08,0.26,0.2,0.2,,,,,2021.0,2021-12-15,318.0,32.0,32.0,2455123.0,12.0,12.0,,,,,,,,,,,,,,,,,,,17.7,2.2,2.2,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 79181,137.995833353,-19.747500026,2.47,,,,,,,,,,,,,,,,,,G8 III,,,,,,,,,,HD 79181,Gaia DR3 5679582499313038080,5679582499313038080,EAPSNet1_stellar_params_with_gaia_id.csv,9.687016842402748,5.72
HD 80869 b,Confirmed,4.86,0.29,0.29,4.86,0.29,0.29,,,,1711.7,9.6,9.6,2.878,0.046,0.046,0.862,0.018,0.018,,,,,2021.0,2021-07-14,62.2,7.6,7.6,2456934.0,13.0,13.0,,,,,,,,,,,,,,,,,,,151.9,9.5,9.5,203.2,5.5,5.5,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 80869,140.79166667,33.904722244,4.09,8.45,,,,,85.6,0.7,0.7,0.17,0.01,0.01,1.08,0.05,0.05,1.062,0.042,0.042,G1V,,,,5837.0,15.0,15.0,,,,HD 80869,Gaia DR3 702119851729696640,702119851729696640,ptps_with_gaia_id.csv,11.812194905985727,8.48
HD 81688 b,Confirmed,1.77,0.2,0.2,1.77,0.2,0.2,,,,184.02,0.18,0.18,0.66,0.05,0.05,0.0,,,,,,0.009177,2008.0,2016-02-01,,,,2452335.4,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 81688,142.1666667,45.6013889,2.26,5.41,,,,,88.26,8.0,8.0,-0.359,0.02,0.02,2.1,,,13.0,,,K0III-IV,,,,4753.0,15.0,15.0,,,,HD 81688,Gaia DR3 818464227945910016,818464227945910016,EAPSNet1_stellar_params_with_gaia_id.csv,11.816251677759006,5.39755
HD 82886 b,Confirmed,1.3,0.1,0.1,1.3,0.1,0.1,,,,705.0,34.0,34.0,1.65,0.06,0.06,0.27,inf,inf,,,,0.0132,2011.0,2011-09-01,347.0,80.0,80.0,2455200.0,160.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 82886,143.9375,34.7808333,3.27,7.78,,,,,125.0,12.0,12.0,-0.31,0.03,0.03,1.06,0.074,0.074,4.8,0.1,0.1,G0,7.0,2.0,2.0,5112.0,44.0,44.0,,,,HD 82886,Gaia DR3 797597524475897600,797597524475897600,keck_hires_with_gaia_id.csv,7.895354938427313,7.62
HD 86950 b,Confirmed,3.6,0.7,0.7,3.6,0.7,0.7,,,,1270.0,57.0,57.0,2.72,0.08,0.08,0.17,0.16,0.16,,,,,2016.0,2017-06-29,243.0,70.0,70.0,2454245.0,161.0,161.0,,,,,,,,,,,,,,,,,,,49.0,12.0,12.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 86950,150.408333346,-17.333055575,2.66,7.46,,,,,169.0,22.0,22.0,0.04,0.1,0.1,1.66,0.25,0.25,8.8,0.6,0.6,K1 III,,,,4805.0,100.0,100.0,,,,HD 86950,Gaia DR3 5673523262530712832,5673523262530712832,PPPS_star_with_gaia_id.csv,4.677510092150286,7.47
HD 88133 b,Confirmed,0.3,,,0.3,,,1.0,,,3.41566,0.00084,0.00084,0.047,,,0.0761,0.0508,0.0508,,,,0.000631,2004.0,2015-02-24,357.2,60.4,60.4,2453180.0,,,,,,,,,,,,,,,,,,,,,34.13,3.57,3.57,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 88133,152.5291667,18.1866667,3.82,8.01,,,,,74.5,,,0.34,0.04,0.04,1.2,0.2,0.2,1.93,,,G5 IV,9.56,,,5494.0,,,,,,HD 88133,Gaia DR3 623408253837371392,623408253837371392,ptps_with_gaia_id.csv,13.5881979968918,8.01852
HD 94834 b,Confirmed,1.26,0.17,0.17,1.26,0.17,0.17,1.242,,,1576.0,76.0,76.0,2.74,0.19,0.19,0.14,0.1,0.1,,,,,2018.0,2018-12-20,38.0,41.0,41.0,2456100.0,190.0,190.0,,,,,,,,,,,,,,,,,,,20.7,2.9,2.9,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 94834,164.31297,24.14278,3.2,7.6,,,,,81.0,,,,,,1.11,,,4.2,,,K1,,,,4798.0,,,,,,HD 94834,Gaia DR3 3995918691799173248,3995918691799173248,keck_hires_with_gaia_id.csv,10.286160102360055,7.6
HD 95089 b,Confirmed,1.2,0.1,0.1,1.2,0.1,0.1,,,,507.0,16.0,16.0,1.51,0.05,0.05,0.157,0.086,0.086,,,,0.010863,2010.0,2010-03-18,317.0,60.0,60.0,2454983.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 95089,164.7,1.7291667,3.22,7.92,,,,,139.0,16.0,16.0,0.05,0.03,0.03,1.58,0.11,0.11,4.9,0.1,0.1,K0 IV,2.5,0.9,0.9,5002.0,44.0,44.0,,,,HD 95089,Gaia DR3 3808410933735817472,3808410933735817472,keck_hires_with_gaia_id.csv,7.378305543155719,7.92
HD 95127 b,Confirmed,5.01,0.44,0.44,5.01,0.44,0.44,,,,482.0,5.0,5.0,1.28,0.01,0.01,0.11,0.06,0.06,,,,,2015.0,2016-01-10,40.0,40.0,40.0,2453200.0,50.0,50.0,,,,,,,,,,,,,,,,,,,116.0,9.0,9.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 95127,164.895833345,43.814444472,1.78,8.15,,,,,300.0,100.0,100.0,-0.18,0.05,0.05,1.2,0.22,0.22,20.0,9.0,9.0,K0,5.5,4.7,4.7,4218.0,69.0,69.0,,,,HD 95127,Gaia DR3 781641961487762816,781641961487762816,ptps_with_gaia_id.csv,1.7913405195661674,8.15
HD 96063 b,Confirmed,0.9,0.1,0.1,0.9,0.1,0.1,,,,361.1,9.9,9.9,0.99,0.03,0.03,0.28,inf,inf,,,,0.006266,2011.0,2011-09-01,90.0,100.0,100.0,2455260.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 96063,166.1833333,-2.5133333,3.42,8.37,,,,,158.0,20.0,20.0,-0.3,0.03,0.03,1.02,0.072,0.072,4.5,0.1,0.1,K0,9.0,3.0,3.0,5148.0,44.0,44.0,,,,HD 96063,Gaia DR3 3791263156547622784,3791263156547622784,keck_hires_with_gaia_id.csv,7.1786923789767965,8.21
HD 96992 b,Confirmed,1.14,0.31,0.31,1.14,0.31,0.31,,,,514.0,4.0,4.0,1.24,0.05,0.05,0.41,0.12,0.12,,,,,2021.0,2021-10-19,149.0,31.0,31.0,2453620.0,40.0,40.0,,,,,,,,,,,,,,,,,,,33.0,3.0,3.0,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 96992,167.596850093,43.9189798925,2.76,8.56,,,,,,,,-0.45,0.08,0.08,0.96,0.09,0.09,7.43,1.1,1.1,K0,,,,4725.0,10.0,10.0,,,,HD 96992,Gaia DR3 779018698542966272,779018698542966272,ptps_with_gaia_id.csv,2.572228086370401,8.57
HD 98219 b,Confirmed,1.8,0.1,0.1,1.8,0.1,0.1,,,,436.9,4.5,4.5,1.23,0.03,0.03,0.112,0.0,0.0,,,,0.009179,2011.0,2021-04-13,57.0,30.0,30.0,2455140.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 98219,169.45,-23.9752778,3.32,8.21,,,,,134.0,12.0,12.0,-0.02,0.03,0.03,1.3,0.091,0.091,4.5,0.1,0.1,K0III/IV,4.0,1.0,1.0,4992.0,44.0,44.0,,,,HD 98219,Gaia DR3 3534621989981179520,3534621989981179520,keck_hires_with_gaia_id.csv,8.836468102186373,8.05
HD 99109 b,Confirmed,0.502,0.07,0.07,0.502,0.07,0.07,,,,439.3,5.6,5.6,1.105,0.065,0.065,0.09,0.16,0.16,,,,0.018264,2006.0,2006-07-14,256.0,,,11310.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 99109,171.0708333,-1.5288889,4.06,9.1,,,,,60.5,4.8,4.8,0.315,,,0.93,,,,,,K0,12.2,,,5272.0,,,,,,HD 99109,Gaia DR3 3796826582305099520,3796826582305099520,ptps_with_gaia_id.csv,18.178005459652788,9.1
HD 99283 b,Confirmed,0.97,0.25,0.25,0.97,0.25,0.25,,,,310.4,1.7,1.7,1.08,0.07,0.07,0.2,0.15,0.15,,,,,2021.0,2021-12-16,291.0,41.0,41.0,2455291.0,25.6,25.6,,,,,,,,,,,,,,,,,,,20.4,3.5,3.5,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 99283,171.487500019,55.850555573,2.69,,,,,,,,,,,,,,,,,,K0 III,,,,,,,,,,HD 99283,Gaia DR3 844058831415683712,844058831415683712,lick_GK_survey_with_gaia_id.csv,9.183251069584296,5.72916
HD 99706 b,Confirmed,1.4,0.1,0.1,1.4,0.1,0.1,,,,868.0,31.0,31.0,2.14,0.08,0.08,0.365,0.1,0.1,,,,0.016589,2011.0,2011-09-01,359.0,20.0,20.0,2455219.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 99706,172.125,43.9666667,3.1,7.81,,,,,129.0,11.0,11.0,0.14,0.03,0.03,1.72,0.12,0.12,5.4,0.1,0.1,K0,2.1,0.4,0.4,4932.0,44.0,44.0,,,,HD 99706,Gaia DR3 784227772318969472,784227772318969472,keck_hires_with_gaia_id.csv,7.009360310784349,7.65
HIP 105854 b,Confirmed,5.35,0.85,0.85,5.35,0.85,0.85,,,,184.2,0.5,0.5,0.655,0.05,0.05,0.02,0.03,0.03,,,,,2014.0,2019-09-17,343.2,4.9,4.9,2455262.4,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 203949,,HIP 105854,321.595833341,-37.829444471,2.94,5.64,,,,,80.84,,,0.31,0.18,0.18,2.1,0.1,0.1,,,,K2III,,,,4780.0,100.0,100.0,,,,HIP 105854,Gaia DR3 6583094222249556224,6583094222249556224,express_post_MS_with_gaia_id.csv,12.680641448996992,5.64
HIP 107773 b,Confirmed,1.98,0.21,0.21,1.98,0.21,0.21,,,,144.3,0.5,0.5,0.72,0.03,0.03,0.09,0.06,0.06,,,,,2015.0,2015-05-29,166.0,33.0,33.0,2456202.3,12.8,12.8,,,,,,,,,,,,,,,,,,,42.7,2.7,2.7,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 107773,327.5,-64.712500024,2.59,5.62,,,,,106.0,4.0,4.0,0.03,0.1,0.1,2.42,0.27,0.27,11.6,1.4,1.4,,,,,4945.0,100.0,100.0,,,,HIP 107773,Gaia DR3 6402076022332085760,6402076022332085760,express_post_MS_with_gaia_id.csv,9.591922891728638,5.62
HIP 114933 b,Confirmed,1.94,0.17,0.17,1.94,0.17,0.17,,,,1481.6,61.7,61.7,2.84,0.08,0.08,0.21,0.08,0.08,,,,,2020.0,2021-03-30,134.2,29.9,29.9,2455059.4,104.6,104.6,,,,,,,,,,,,,,,,,,,28.4,2.5,2.5,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 114933,349.20833335,-21.203055562,3.13,7.25,,,,,102.06,0.5,0.5,0.06,0.06,0.06,1.39,0.09,0.09,5.27,0.05,0.05,K0III,,,,4824.0,60.0,60.0,,,,HIP 114933,Gaia DR3 2386410312150368256,2386410312150368256,keck_hires_with_gaia_id.csv,9.804630979108232,7.25
HIP 56640 b,Confirmed,3.67,0.14,0.14,3.67,0.14,0.14,,,,2574.9,86.1,86.1,3.73,0.08,0.08,0.12,0.04,0.04,,,,,2020.0,2021-03-29,157.2,41.5,41.5,2454813.9,347.5,347.5,,,,,,,,,,,,,,,,,,,53.3,2.0,2.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 56640,174.16666668,-37.039166672,3.19,7.9,,,,,122.76,0.6,0.6,-0.03,0.05,0.05,1.04,0.07,0.07,4.93,0.05,0.05,K1III,,,,4769.0,55.0,55.0,,,,HIP 56640,Gaia DR3 5386076013538356992,5386076013538356992,PPPS_star_with_gaia_id.csv,8.222993964859388,7.94
HIP 63242 b,Confirmed,9.18,,,9.18,,,,,,124.6,,,0.565,,,0.23,,,,,,,2013.0,2013-07-21,118.2,,,2455376.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HIP 63242,194.3833,-65.6464,2.53,6.86,,,,,135.0,8.9,8.9,-0.31,0.09,0.09,1.54,0.05,0.05,,,,G8III,,,,,,,,,,HIP 63242,Gaia DR3 5858576597131420288,5858576597131420288,express_post_MS_with_gaia_id.csv,6.395508879185005,6.86
HIP 67537 b,Confirmed,11.1,0.6,0.6,11.1,0.6,0.6,,,,2592.5,116.1,116.1,4.96,0.24,0.24,0.59,0.04,0.04,,,,,2016.0,2017-03-13,120.7,5.3,5.3,2456293.3,29.9,29.9,,,,,,,,,,,,,,,,,,,113.2,4.0,4.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 67537,207.579166673,-39.900833352,2.85,6.44,,,,,112.6,5.8,5.8,0.15,0.08,0.08,2.41,0.16,0.16,8.69,0.88,0.88,K1III,,,,4985.0,100.0,100.0,,,HD 120457,HIP 67537,Gaia DR3 6114034246789494528,6114034246789494528,express_post_MS_with_gaia_id.csv,8.424856426179627,6.43
HIP 67851 b,Confirmed,1.38,0.15,0.15,1.38,0.15,0.15,,0.04,0.04,88.9,0.1,0.1,0.46,0.02,0.02,0.05,0.04,0.04,,,,,2014.0,2015-05-26,138.1,60.0,60.0,2452997.8,16.7,16.7,,,,,,,,,,,,,,,,,,,45.45,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 67851,208.466666684,-35.314444462,3.13,6.17,,,,,65.96,1.7,1.7,0.0,0.1,0.1,1.63,0.22,0.22,5.52,0.44,0.44,K0III C,,,,4890.0,100.0,100.0,,,,HIP 67851,Gaia DR3 6169943210465504384,6169943210465504384,PPPS_star_with_gaia_id.csv,15.626056122982622,6.17
HIP 74890 b,Confirmed,2.4,0.3,0.3,2.4,0.3,0.3,,,,822.3,16.8,16.8,2.1,0.09,0.09,0.07,0.07,0.07,,,,,2016.0,2016-03-17,181.9,93.9,93.9,2459820.4,380.0,380.0,,,,,,,,,,,,,,,,,,,36.5,2.7,2.7,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 74890,229.570833339,-41.420555567,3.26,7.05,,,,,91.6,5.3,5.3,0.2,0.13,0.13,1.74,0.21,0.21,5.77,0.53,0.53,K1III,,,,4850.0,100.0,100.0,,,,HIP 74890,Gaia DR3 6004107513791584512,6004107513791584512,PPPS_star_with_gaia_id.csv,12.745624149982156,7.05
HIP 75092 b,Confirmed,1.79,0.16,0.16,1.79,0.16,0.16,,,,926.4,12.8,12.8,2.02,0.02,0.02,0.42,0.1,0.1,,,,,2021.0,2021-03-29,262.4,16.7,16.7,2454230.5,49.0,49.0,,,,,,,,,,,,,,,,,,,34.8,3.9,3.9,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 75092,230.170833347,-25.990277803,3.31,7.1,,,,,81.86,0.4,0.4,-0.01,0.05,0.05,1.28,0.1,0.1,4.53,0.05,0.05,K0III,,,,4891.0,50.0,50.0,,,,HIP 75092,Gaia DR3 6214741299913205888,6214741299913205888,PPPS_star_with_gaia_id.csv,12.179065411926285,7.11
HIP 75458 b,Confirmed,16.4,4.0,4.0,11.07,0.46,0.46,,,,510.855,0.014,0.014,1.448,0.029,0.029,0.7008,0.0018,0.0018,46.0,19.0,19.0,0.040476,2002.0,2021-07-30,89.47,0.35,0.35,2452014.2,0.16,0.16,,,,,,,,,,,,,,,,,,,311.0,1.0,1.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"iota Dra b, HD 137759 b",,HIP 75458,231.2291667,58.9658333,2.43,3.31,,,,,31.5,,,0.15,0.2,0.2,1.4,0.2,0.2,12.8,0.17,0.17,K2 III,,,,4445.0,45.0,45.0,,,,HIP 75458,Gaia DR3 1614731957531452544,1614731957531452544,lick_GK_survey_with_gaia_id.csv,32.52388531619131,3.29668
HIP 8541 b,Confirmed,5.59,1.0,1.0,5.59,1.0,1.0,,,,1560.0,54.0,54.0,2.8,0.25,0.25,0.16,0.06,0.06,,,,,2016.0,2016-03-17,294.0,15.2,15.2,2459346.9,93.4,93.4,,,,,,,,,,,,,,,,,,,87.4,6.4,6.4,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 8541,27.525000002,-54.465000021,3.01,7.9,,,,,169.0,17.0,17.0,-0.15,0.08,0.08,1.17,0.3,0.3,7.83,1.0,1.0,K2III,,,,4670.0,100.0,100.0,,,,HIP 8541,Gaia DR3 4912062772547406976,4912062772547406976,PPPS_star_with_gaia_id.csv,6.4963719184355275,7.88
HIP 90988 b,Confirmed,1.96,0.09,0.09,1.96,0.09,0.09,,,,453.9,2.0,2.0,1.26,0.01,0.01,0.08,0.05,0.05,,,,,2020.0,2021-03-30,161.6,23.9,23.9,2455309.2,30.2,30.2,,,,,,,,,,,,,,,,,,,43.6,2.1,2.1,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 90988,278.387500011,-50.21166668,3.47,7.8,,,,,94.29,0.5,0.5,0.17,0.06,0.06,1.3,0.08,0.08,3.94,0.04,0.04,K1III,,,,4884.0,58.0,58.0,,,,HIP 90988,Gaia DR3 6703673951620872192,6703673951620872192,PPPS_star_with_gaia_id.csv,10.731657645634272,7.75
HIP 97233 b,Confirmed,20.0,0.4,0.4,20.0,0.4,0.4,,,,1058.8,6.7,6.7,2.55,0.05,0.05,0.61,0.03,0.03,,,,,2014.0,2014-10-09,249.3,2.4,2.4,2455856.3,10.0,10.0,,,,,,,,,,,,,,,,,,,320.1,18.4,18.4,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HIP 97233,296.420833347,-0.696666691,3.26,7.34,,,,,106.5,7.9,7.9,0.29,0.13,0.13,1.93,0.11,0.11,5.34,0.55,0.55,K0,,,,5020.0,100.0,100.0,,,,HIP 97233,Gaia DR3 4238527753544691712,4238527753544691712,express_post_MS_with_gaia_id.csv,9.837442010356028,7.34
kappa CrB b,Confirmed,1.6,,,1.6,,,,,,1251.0,15.0,15.0,2.6,,,0.073,0.049,0.049,,,,0.086817,2007.0,2021-04-11,210.0,51.0,51.0,2451860.0,180.0,180.0,,,,,,,,,,,,,,,,,,,23.6,1.1,1.1,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,kap CrB b,,kappa CrB,237.8083333,35.6575,3.11,4.79,,3.04,2.04,2.42,31.1,0.6,0.6,0.14,0.05,0.05,1.51,0.2,0.2,5.0,0.2,0.2,K1IVa,2.5,1.0,1.0,4960.0,70.0,70.0,,,kap CrB,kappa CrB,Gaia DR3 1372702716380418688,1372702716380418688,keck_hires_with_gaia_id.csv,33.34325692137492,4.79734
KELT-11 b,Confirmed,0.195,0.019,0.019,,,,1.3,0.12,0.12,4.736529,5.9e-05,5.9e-05,0.06229,0.00076,0.00076,0.0,,,85.8,1.8,1.8,,2016.0,2022-09-02,,,,,,,,,,2457440.8323,0.0036,0.0036,2457059.5415,0.0027,0.0027,,,,0.36,0.2,0.2,,,,18.5,1.7,1.7,1712.0,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"H2O, Na",KELT-11,161.70833335,-9.399166687,3.83,8.0,,,,,98.0,5.0,5.0,0.18,0.075,0.075,1.438,0.052,0.052,2.72,0.17,0.17,G8,,,,5370.0,51.0,51.0,,,HD 93396,KELT-11,Gaia DR3 3761497761876022400,3761497761876022400,keck_hires_with_gaia_id.csv,10.004934710422685,8.04
ksi Aql b,Confirmed,2.02,0.2,0.2,2.02,0.2,0.2,,,,136.75,0.25,0.25,0.58,0.03,0.03,0.0,,,,,,0.010845,2008.0,2016-02-01,,,,2453001.7,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,ksi Aql,298.5625,8.4613889,2.72,4.72,,2.85,2.37,2.17,62.7,3.9,3.9,-0.205,0.039,0.039,2.2,,,12.0,,,G9IIIb,,,,4780.0,30.0,30.0,,,"Libertas, 59 Aql, HD 188310",ksi Aql,Gaia DR3 4298361114753012992,4298361114753012992,EAPSNet1_stellar_params_with_gaia_id.csv,17.51831962133083,4.70964
mu Leo b,Confirmed,2.4,0.4,0.4,2.4,0.4,0.4,,,,357.8,1.2,1.2,1.1,0.1,0.1,0.09,0.08,0.08,,,,,2014.0,2014-05-12,227.1,16.0,16.0,2452921.0,17.3,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,mu Leo,148.191666682,26.00694445,2.44,3.88,,,,,38.05,0.23,0.23,0.3,0.04,0.04,1.5,0.1,0.1,11.4,0.2,0.2,K2III,3.35,0.7,0.7,4538.2,27.5,27.5,,,,mu Leo,Gaia DR3 643819484617141504,643819484617141504,lick_GK_survey_with_gaia_id.csv,26.09707383729997,3.86648
nu Oph b,Confirmed,22.206,,,22.206,,,,,,530.21,0.1,0.1,1.79,,,0.124,0.003,0.003,,,,0.038462,2004.0,2019-04-02,9.93,1.49,1.49,2452034.2,6.6,6.6,,,,,,,,,,,,,,,,,,,288.26,1.0,1.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,nu Oph,269.7583333,-9.7736111,2.63,3.33,,,,,46.8,1.8,1.8,0.13,0.05,0.05,3.04,0.06,0.06,15.1,1.0,1.0,K0III,,,,4928.0,25.0,25.0,,,,nu Oph,Gaia DR3 4164319171172759040,4164319171172759040,lick_GK_survey_with_gaia_id.csv,22.903060175843585,3.31216
ome Ser b,Confirmed,1.7,,,1.7,,,,,,277.02,0.51,0.51,1.1,,,0.106,0.069,0.069,,,,,2013.0,2014-05-25,132.0,52.0,52.0,2450022.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,ome Ser,237.575,2.1964,2.32,5.21,,,,,80.6,4.7,4.7,-0.24,0.02,0.02,2.17,0.29,0.29,12.3,0.82,0.82,G8 III,,,,4770.0,10.0,10.0,,,,ome Ser,Gaia DR3 4423234230853333632,4423234230853333632,EAPSNet1_stellar_params_with_gaia_id.csv,13.10255222351121,5.21644
omi CrB b,Confirmed,1.5,,,1.5,,,,,,187.3,54.0,54.0,0.83,,,0.191,0.085,0.085,,,,,2012.0,2012-09-07,79.0,36.0,36.0,2452211.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,omi CrB,230.035661628,29.616208025,2.34,5.51,,,,,84.0,5.2,5.2,-0.29,0.03,0.03,2.13,0.01,0.01,10.4,0.7,0.7,K0III,,,,4749.0,20.0,20.0,,,,omi CrB,Gaia DR3 1275235752223276288,1275235752223276288,EAPSNet1_stellar_params_with_gaia_id.csv,11.911299573573231,5.5052
sig Per b,Confirmed,6.5,1.0,1.0,6.5,1.0,1.0,,,,579.8,2.4,2.4,1.8,0.1,0.1,0.3,0.1,0.1,,,,,2014.0,2014-05-12,83.5,14.2,14.2,2453022.6,20.7,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,sig Per,52.645833345,47.995277807,1.34,4.36,,,,,108.3,3.0,3.0,-0.22,0.23,0.23,2.25,0.5,0.5,28.0,,,K3III,,,,4367.0,100.0,100.0,,,,sig Per,Gaia DR3 249147311932147072,249147311932147072,lick_GK_survey_with_gaia_id.csv,9.505969376245387,4.33744
tau Gem b,Confirmed,20.6,,,20.6,,,,,,305.5,0.1,0.1,1.17,,,0.031,0.009,0.009,,,,,2004.0,2015-08-21,137.4,0.3,0.3,2453270.7,14.8,14.8,,,,,,,,,,,,,,,,,,,350.5,3.4,3.4,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,tau Gem,107.7833333,30.2452778,1.98,4.4,,,,,98.4,2.5,2.5,0.14,0.1,0.1,2.3,0.3,0.3,26.8,0.7,0.7,K2III,1.22,0.76,0.76,4388.0,25.0,25.0,,,,tau Gem,Gaia DR3 886479673643853952,886479673643853952,lick_GK_survey_with_gaia_id.csv,8.326143649272213,4.37799
TYC 3318-01333-1 b,Confirmed,3.42,0.35,0.35,3.42,0.35,0.35,,,,562.0,4.0,4.0,1.414,0.06,0.06,0.1,0.03,0.03,,,,,2018.0,2023-08-21,129.0,36.0,36.0,2454340.5,60.0,60.0,,,,,,,,,,,,,,,,,,,75.42,0.7,0.7,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TYC 3318-01333-1,45.58333334,49.744444468,2.97,9.9,,,,,556.0,100.0,100.0,-0.06,0.06,0.06,1.19,0.14,0.14,5.9,1.0,1.0,,,,,4776.0,10.0,10.0,,,,TYC 3318-01333-1,Gaia DR3 439327810962983424,439327810962983424,ptps_with_gaia_id.csv,2.0527815839969636,9.901
